account_id,first_name,last_name,password,balance_checking,balance_savings,status,overdraft_limit
10001,suresh,sigera,juagw362,none,10020.0,active,-100.0
10002,james,taylor,idh36%@#FGd,10000.0,10000.0,active,-100.0
10003,melvin,gordon,uYWE732g4ga1,2000.0,20000.0,active,-100.0
10004,stacey,abrams,DEU8_qw3y72$,-100.0,20000.0,inactive,-100.0
10005,jake,paul,d^dg23g)@,100000.0,100000.0,active,-100.0
10006,shouq,almutairi,1234,780.0,2.0,active,-100.0
10007,john,sam,123,3020.0,none,active,-100.0
10008,omar,almutairi,123,-36.0,886.0,active,-50.0
10009,afnan,almutairi,1,320.0,30.0,active,-100.0
10010,nada,almutairi,12345,12360.0,7.0,active,-100.0
10011,shahad,alshehri,900,12000.0,2000.0,active,-100.0
10012,noora,albuaenin,20,100000.0,1000000.0,active,-100.0
10013,sd,sd,12345Gg@,12.0,12.0,active,12.0
10014,khadija,amayn,12345$Sh,300.0,100.0,active,-100.0
